label,z_m,z_mm,x_m,x_mm,w_cfd,t_cfd,w_pinn,t_pinn,w_err,t_err
line-z-10,0.01,10.0,0.00329059,3.29059,-0.141731,850.429,1.278414937159629,860.5124318558926,1.420145937159629,10.083431855892627
line-z-10,0.01,10.0,0.00401011,4.01011,9.96217,773.401,10.561935142939062,770.1825659216922,0.5997651429390611,3.218434078307723
line-z-10,0.01,10.0,0.00415611,4.15611,11.981,757.457,12.585180410246217,752.9229932539523,0.6041804102462169,4.53400674604768
line-z-10,0.01,10.0,0.00432326,4.323259999999999,14.2924,739.203,14.975656825580785,735.0834159170989,0.6832568255807843,4.119584082901042
line-z-10,0.01,10.0,0.00534413,5.34413,28.8014,627.185,30.617511017367114,675.7498186266375,1.8161110173671133,48.56481862663759
line-z-10,0.01,10.0,0.00542024,5.42024,29.8019,630.558,31.827665837762243,676.1849513625923,2.0257658377622434,45.62695136259231
line-z-10,0.01,10.0,0.00544067,5.44067,30.0705,631.464,32.152504400115056,676.3017528577382,2.082004400115057,44.83775285773811
line-z-10,0.01,10.0,0.00584185,5.84185,35.5281,608.545,38.578424835565315,689.3478599609425,3.0503248355653128,80.80285996094256
line-z-10,0.01,10.0,0.00648751,6.48751,48.0161,733.428,49.14231670333915,752.4428260811161,1.1262167033391464,19.014826081116098
line-z-10,0.01,10.0,0.00736896,7.3689599999999995,65.0647,903.918,64.45834533160125,898.7944302228946,0.6063546683987511,5.123569777105445
line-z-10,0.01,10.0,0.00814134,8.14134,79.938,1046.38,79.03366280747474,1041.1313401091559,0.9043371925252615,5.2486598908442375
line-z-10,0.01,10.0,0.00847122,8.47122,85.3378,1106.64,85.40819396441299,1098.8327300930614,0.07039396441298607,7.8072699069387
line-z-10,0.01,10.0,0.00849436,8.494359999999999,85.7532,1110.77,85.85534641673368,1102.8802933409927,0.10214641673367453,7.889706659007288
line-z-10,0.01,10.0,0.00855368,8.55368,86.6893,1118.82,86.93424808636837,1112.53260589614,0.2449480863683675,6.287394103859924
line-z-10,0.01,10.0,0.0101301,10.130099999999999,111.565,1332.51,106.50980039619017,1344.3389013700692,5.055199603809825,11.828901370069161
line-z-10,0.01,10.0,0.0105127,10.5127,107.025,1333.07,106.64503251881288,1388.040616946238,0.37996748118712276,54.970616946238124
line-z-10,0.01,10.0,0.0120745,12.0745,90.7963,1394.32,88.26211239982939,1396.5485485265326,2.534187600170611,2.228548526532677
line-z-10,0.01,10.0,0.0122236,12.2236,87.9017,1401.92,85.72978973029515,1381.6553316980624,2.1719102697048527,20.264668301937718
line-z-10,0.01,10.0,0.0122236,12.2236,87.9017,1401.92,85.72978973029515,1381.6553316980624,2.1719102697048527,20.264668301937718
line-z-10,0.01,10.0,0.0123545,12.3545,85.578,1370.43,83.51945085951725,1364.691263671863,2.0585491404827536,5.738736328137065
line-z-10,0.01,10.0,0.0123545,12.3545,85.578,1370.43,83.51945085951725,1364.691263671863,2.0585491404827536,5.738736328137065
line-z-10,0.01,10.0,0.0139067,13.906699999999999,62.788,1132.17,60.58364618054494,1095.4133634277248,2.204353819455058,36.75663657227528
line-z-10,0.01,10.0,0.0146118,14.611799999999999,52.4347,1023.94,52.758033638268834,977.1806793600504,0.323333638268835,46.75932063994969
line-z-10,0.01,10.0,0.0146118,14.611799999999999,52.4347,1023.94,52.758033638268834,977.1806793600504,0.323333638268835,46.75932063994969
line-z-10,0.01,10.0,0.0147971,14.7971,49.7791,999.3,50.938941471951935,951.1893375818503,1.1598414719519354,48.11066241814967
line-z-10,0.01,10.0,0.015038,15.037999999999998,48.3052,936.917,48.6062459034637,918.2672659122211,0.3010459034637023,18.64973408777894
line-z-10,0.01,10.0,0.0151143,15.1143,47.8007,924.234,47.86907887860456,907.9371386776181,0.06837887860456249,16.296861322381915
line-z-10,0.01,10.0,0.0155652,15.565199999999999,44.2005,915.514,43.73834837646455,860.0661051757778,0.4621516235354477,55.4478948242222
line-z-10,0.01,10.0,0.0166395,16.6395,34.4868,854.799,34.37729247979507,809.7587952450026,0.10950752020493582,45.040204754997376
line-z-10,0.01,10.0,0.0175625,17.5625,26.2653,796.805,27.10969518212692,838.7130647547125,0.8443951821269202,41.90806475471254
line-z-10,0.01,10.0,0.0183546,18.354599999999998,21.2834,919.293,21.922874651470913,906.5428085363114,0.6394746514709126,12.750191463688566
line-z-10,0.01,10.0,0.0186249,18.6249,20.2779,950.355,20.451660134977047,935.1927360911734,0.1737601349770479,15.162263908826617
line-z-10,0.01,10.0,0.0192008,19.2008,18.1366,1016.5,17.702357983218754,998.2106688591496,0.43424201678124774,18.289331140850436
line-z-10,0.01,10.0,0.0203648,20.3648,12.7808,1137.82,13.761494217277841,1108.89932180607,0.9806942172778417,28.920678193929916
line-z-10,0.01,10.0,0.0204162,20.4162,12.6813,1142.8,13.639564036290643,1112.4248929227983,0.9582640362906432,30.37510707720162
